compatibility_code,section,reference,reference_prefix,reference_group,reference_family,reference_option,reference_variant,options,source_line
0040,STANDARD DYNAMIC TIBASE,31.312.040.21-2,31,312,040,21,2,"30º|25º|20º|0,6","0,6                       30º                            25º                            20º                    31.322.040.21-2                                 31.312.040.21-2"
0040,STANDARD DYNAMIC TIBASE,31.322.040.29-2,31,322,040,29,2,30º|25º|20º|1,1                        30º                            25º                            20º                    31.322.040.29-2                                 31.312.040.29-2
0040,STANDARD DYNAMIC TIBASE,31.312.040.29-2,31,312,040,29,2,30º|25º|20º|1,1                        30º                            25º                            20º                    31.322.040.29-2                                 31.312.040.29-2
0040,STANDARD DYNAMIC TIBASE,31.312.040.28-2,31,312,040,28,2,25º|20º|15º|2,2                        25º                            20º                            15º                                    -                               31.312.040.28-2
0040,STANDARD DYNAMIC TIBASE,31.322.040.23-2,31,322,040,23,2,25º|20º|15º|3,3                        25º                            20º                            15º                    31.322.040.23-2                                 31.312.040.23-2
0040,STANDARD DYNAMIC TIBASE,31.312.040.23-2,31,312,040,23,2,25º|20º|15º|3,3                        25º                            20º                            15º                    31.322.040.23-2                                 31.312.040.23-2
0040,SCREWDRIVER,52.408.101.01-2,52,408,101,01,2,8,8                     52.408.101.01-2
0040,SCREWDRIVER,43.621.410.01-2,43,621,410,01,2,,43.621.410.01-2
0040,SCREWDRIVER,50.312.040.03-2,50,312,040,03,2,,50.312.040.03-2
0040,SCREWDRIVER,52.410.101.01-2,52,410,101,01,2,10,10                     52.410.101.01-2                                                                                 43.624.410.01-2
0040,SCREWDRIVER,43.624.410.01-2,43,624,410,01,2,10,10                     52.410.101.01-2                                                                                 43.624.410.01-2
0040,SCREWDRIVER,52.412.101.01-2,52,412,101,01,2,12,12                     52.412.101.01-2
0040,SCANBODY                                       SCANALOG,30.412.001.01-2,30,412,001,01,2,,30.412.001.01-2                               23.412.040.01-2
0040,SCANBODY                                       SCANALOG,23.412.040.01-2,23,412,040,01,2,,30.412.001.01-2                               23.412.040.01-2
0040,SCANBODY                                       SCANALOG,33.370.716.01-2,33,370,716,01,2,3,3                                                 33.370.716.01-2                                             22.612.040.01-2                                 34.612.040.01-2
0040,SCANBODY                                       SCANALOG,22.612.040.01-2,22,612,040,01,2,3,3                                                 33.370.716.01-2                                             22.612.040.01-2                                 34.612.040.01-2
0040,SCANBODY                                       SCANALOG,34.612.040.01-2,34,612,040,01,2,3,3                                                 33.370.716.01-2                                             22.612.040.01-2                                 34.612.040.01-2
0040,SCANBODY                                       SCANALOG,33.470.716.01-2,33,470,716,01,2,25º|4,4                       25º                       33.470.716.01-2
0040,SCANBODY                                       SCANALOG,33.670.716.01-2,33,670,716,01,2,6,6                                                 33.670.716.01-2
0040,SCANBODY OP,49.414.000.01-2,49,414,000,01,2,A|6,49.414.000.01-2                                        6                         A
0040,SCANBODY OP,49.415.000.01-2,49,415,000,01,2,A|9,49.415.000.01-2                                        9                         A
0040,SCANBODY OP,49.416.000.01-2,49,416,000,01,2,A|13,49.416.000.01-2                                        13                         A
0040,SCANBODY OP,49.414.000.02-2,49,414,000,02,2,B|6,49.414.000.02-2                                         6                         B
0040,SCANBODY OP,49.415.000.02-2,49,415,000,02,2,B|9,49.415.000.02-2                                         9                         B
0040,SCANBODY OP,49.416.000.02-2,49,416,000,02,2,B|13,49.416.000.02-2                                        13                         B
0040,SCANBODY OP,54.315.040.21-2,54,315,040,21,2,,54.315.040.21-2                                                                                                                                      43.625.105.01-2
0040,SCANBODY OP,43.625.105.01-2,43,625,105,01,2,,54.315.040.21-2                                                                                                                                      43.625.105.01-2
0040,SCANBODY OP,49.414.000.03-2,49,414,000,03,2,C|6,49.414.000.03-2                                         6                         C
0040,SCANBODY OP,49.415.000.03-2,49,415,000,03,2,C|9,49.415.000.03-2                                         9                         C
0040,SCANBODY OP,49.416.000.03-2,49,416,000,03,2,C|13,49.416.000.03-2                                        13                         C
0040,SCANBODY OP,49.416.000.04-2,49,416,000,04,2,D|13,49.416.000.04-2                                        13                         D
0040,SCANBODY OP,49.416.000.05-2,49,416,000,05,2,E|13,49.416.000.05-2                                        13                          E
0040,DYNAMIC,43.618.201.01-2,43,618,201,01,2,18,18                    43.618.201.01-2
0040,DYNAMIC,41.317.071.01-2,41,317,071,01,2,24,41.317.071.01-2                               41.317.106.01-2                                     24                     43.624.201.01-2
0040,DYNAMIC,41.317.106.01-2,41,317,106,01,2,24,41.317.071.01-2                               41.317.106.01-2                                     24                     43.624.201.01-2
0040,DYNAMIC,43.624.201.01-2,43,624,201,01,2,24,41.317.071.01-2                               41.317.106.01-2                                     24                     43.624.201.01-2
0040,DYNAMIC,43.632.201.01-2,43,632,201,01,2,32,32                     43.632.201.01-2
0040,STRAIGHT,40.317.004.01-2,40,317,004,01,2,1.27,40.317.004.01-2                          Hex. 1.27                        43.601.104.01-2
0040,STRAIGHT,43.601.104.01-2,43,601,104,01,2,1.27,40.317.004.01-2                          Hex. 1.27                        43.601.104.01-2
0040,STRAIGHT MULTI-UNIT,42.302.040.01-2,42,302,040,01,2,1,1                   42.302.040.01-2
0040,STRAIGHT MULTI-UNIT,42.302.040.02-2,42,302,040,02,2,2,2                    42.302.040.02-2
0040,STRAIGHT MULTI-UNIT,42.302.040.03-2,42,302,040,03,2,3,3                    42.302.040.03-2
0040,STRAIGHT MULTI-UNIT,42.302.040.04-2,42,302,040,04,2,4,4                    42.302.040.04-2
0040,STRAIGHT MULTI-UNIT,48.312.040.02-2,48,312,040,02,2,"2.5|3,9","2.5/3,9                48.312.040.02-2"
0040,STRAIGHT MULTI-UNIT,48.312.040.03-2,48,312,040,03,2,"3,5|4,9","3,5/4,9                48.312.040.03-2"
0040,STRAIGHT MULTI-UNIT,48.312.040.04-2,48,312,040,04,2,"4,5|5,9","4,5/5,9                48.312.040.04-2"
0040,INTERNAL MULTI-UNIT,62.302.040.04-2,62,302,040,04,2,4,4                    62.302.040.04-2
0040,STANDARD DYNAMIC TIBASE,31.312.040.01-2,31,312,040,01,2,,31.312.040.01-2
0040,STANDARD DYNAMIC TIBASE,31.322.040.01-2,31,322,040,01,2,"45º|30º|0,6","0,6                        45º                           30º                        31.322.040.01-2"
0040,STANDARD DYNAMIC TIBASE,31.312.042.01-2,31,312,042,01,2,,31.312.042.01-2
0040,STANDARD DYNAMIC TIBASE,31.322.040.02-2,31,322,040,02,2,"25º|1,5","1,5                                                      25º                       31.322.040.02-2                                31.312.040.02-2"
0040,STANDARD DYNAMIC TIBASE,31.312.040.02-2,31,312,040,02,2,"25º|1,5","1,5                                                      25º                       31.322.040.02-2                                31.312.040.02-2"
